Mot;Pageviews;Difficulte_V1;Difficulte_V2;Delta_Difficulte;Abstraction_V1;Abstraction_V2;Delta_Abstraction
coruscant;10402;0.452;0.040;-0.412;0.200;0.200;0.000
crépuscule;4385;0.050;0.050;0.000;0.050;0.478;0.428
diaphane;4157;0.030;0.030;0.000;0.050;0.050;0.000
exsangue;4921;0.030;0.030;0.000;0.750;0.750;0.000
fuligineux;3614;0.177;0.124;-0.053;0.850;0.850;0.000
incandescent;1321;0.074;0.070;-0.004;0.200;0.200;0.000
irisé;1453;0.245;0.230;-0.015;0.200;0.200;0.000
luminescence;257;0.619;0.619;0.000;0.200;0.200;0.000
nimbe;1946;0.186;0.159;-0.027;0.500;0.500;0.000
opalin;614;0.337;0.337;0.000;0.200;0.200;0.000
phosphorescence;223;0.303;0.303;0.000;0.200;0.200;0.000
purpurine;201;0.589;0.589;0.000;0.500;0.500;0.000
pénombre;1298;0.030;0.030;0.000;0.050;0.050;0.000
ténébreux;741;0.040;0.040;0.000;0.750;0.750;0.000
vespéral;4348;0.627;0.598;-0.029;0.200;0.200;0.000
alcyon;2941;0.255;0.210;-0.045;0.000;0.000;0.000
améthyste;704;0.339;0.339;0.000;0.050;0.050;0.000
arachnéen;757;0.516;0.516;0.000;0.200;0.200;0.000
auréole;1702;0.020;0.020;0.000;0.050;0.050;0.000
azur;3441;0.000;0.000;0.000;0.200;0.200;0.000
bocage;1562;0.010;0.010;0.000;0.050;0.050;0.000
brume;1818;0.000;0.000;0.000;0.050;0.050;0.000
bucolique;3661;0.193;0.040;-0.153;0.100;0.100;0.000
chrysanthème;1262;0.531;0.449;-0.082;0.000;0.000;0.000
chthonien;6104;0.922;0.961;0.039;0.200;0.200;0.000
constellation;1418;0.080;0.080;0.000;0.000;0.000;0.000
corolle;1425;0.020;0.020;0.000;0.000;0.000;0.000
céleste;2209;0.020;0.020;0.000;0.050;0.050;0.000
céruléen;6578;0.329;0.251;-0.078;0.200;0.200;0.000
dryade;1598;0.672;0.359;-0.313;0.000;0.000;0.000
effluve;3150;0.265;0.218;-0.047;0.050;0.050;0.000
empyrée;1435;0.225;0.210;-0.015;0.050;0.050;0.000
firmament;3108;0.040;0.040;0.000;0.200;0.558;0.358
héliotrope;1343;0.444;0.358;-0.086;0.050;0.050;0.000
inflorescence;662;1.000;1.000;0.000;0.200;0.200;0.000
labyrinthe;2000;0.050;0.050;0.000;0.000;0.130;0.130
limpide;1705;0.020;0.020;0.000;0.050;0.050;0.000
lustral;708;0.225;0.225;0.000;0.200;0.200;0.000
nadir;3804;0.389;0.061;-0.328;0.200;0.200;0.000
nymphe;2612;0.036;0.010;-0.026;0.000;0.000;0.000
nébuleux;1544;0.253;0.118;-0.135;0.200;0.200;0.000
ondine;1899;0.376;0.349;-0.027;0.000;0.000;0.000
ondée;1147;0.019;0.000;-0.019;0.050;0.050;0.000
oscillation;648;0.060;0.060;0.000;0.200;0.200;0.000
parvis;1522;0.010;0.010;0.000;0.000;0.000;0.000
pistil;697;0.309;0.309;0.000;0.000;0.000;0.000
pittoresque;2699;0.060;0.060;0.000;0.050;0.050;0.000
périgée;1277;0.697;0.446;-0.251;0.050;0.050;0.000
pétale;2386;0.080;0.010;-0.070;0.000;0.137;0.137
pétrichor;9079;0.896;0.040;-0.856;0.200;0.200;0.000
sidéral;1917;0.347;0.145;-0.202;0.200;0.200;0.000
sillage;1976;0.020;0.020;0.000;0.050;0.750;0.700
solstice;1541;0.122;0.030;-0.092;0.000;0.000;0.000
sylphide;2225;0.671;0.655;-0.016;0.000;0.000;0.000
sépale;683;1.000;1.000;0.000;0.000;0.000;0.000
tumulte;1758;0.020;0.020;0.000;0.050;0.837;0.787
villégiature;1333;0.070;0.070;0.000;0.050;0.050;0.000
zodiaque;849;0.253;0.253;0.000;0.000;0.000;0.000
zénith;2550;0.010;0.010;0.000;0.200;0.200;0.000
zéphyr;1930;0.309;0.282;-0.027;0.200;0.200;0.000
éolien;968;0.080;0.080;0.000;0.200;0.200;0.000
