mot;score_v3;score_semantique;zipf_books;ratio;categories_wikt;theme_similaire
cétacé;1.0;0.6121;2.146;4.667;littéraire;Nature & Cosmos
vermisseau;1.0;0.6116;1.845;0.241;littéraire;Esprit & Caractère
gerbe;1.0;0.6109;3.886;20.263;littéraire;Nature & Cosmos
cacochyme;1.0;0.6107;2.672;10.0;soutenu;Nature & Cosmos
tressautement;1.0;0.6103;2.672;10.0;soutenu;Sentiments & Psyché
paître;1.0;0.6102;3.246;1.814;poétique+soutenu;Esprit & Caractère
colombe;1.0;0.6101;3.545;0.691;littéraire+poétique;Nature & Cosmos
onzième;1.0;0.6097;3.173;4.382;archaïque;Esprit & Caractère
béer;1.0;0.6096;3.004;10.1;littéraire;Nature & Cosmos
mercuriale;1.0;0.6093;1.845;10.0;littéraire;Nature & Cosmos
tribut;1.0;0.6093;3.334;3.13;poétique;Esprit & Caractère
échevelé;1.0;0.6093;3.32;50.0;littéraire;Nature & Cosmos
balsamique;1.0;0.6091;2.613;4.1;littéraire;Art & Langage
rosier;1.0;0.609;3.622;6.869;littéraire;Nature & Cosmos
languir;1.0;0.6088;3.033;0.745;poétique;Art & Langage
simarre;1.0;0.6086;2.146;10.0;poétique;Nature & Cosmos
librairie;1.0;0.6084;3.916;1.641;archaïque;Art & Langage
passereau;1.0;0.6084;2.785;2.033;littéraire;Nature & Cosmos
médianoche;1.0;0.6081;2.672;10.0;littéraire;Nature & Cosmos
esseuler;1.0;0.608;2.146;0.824;littéraire;Nature & Cosmos
mutiner;1.0;0.6076;2.146;0.778;poétique;Esprit & Caractère
foudroyant;1.0;0.6075;3.511;32.4;poétique;Lumière & Ombres
tréfonds;1.0;0.6074;3.464;4.694;littéraire;Nature & Cosmos
nonpareil;1.0;0.6073;2.146;14.0;littéraire;Esprit & Caractère
doré;1.0;0.6068;4.215;7.108;poétique;Lumière & Ombres
pôle;1.0;0.6067;3.442;0.888;poétique;Nature & Cosmos
similitude;1.0;0.6064;2.978;2.794;littéraire;Art & Langage
