Mot	FREQ_Mean	FREQ_SD	FREQ_StResiduals	IMAGE_Mean	IMAGE_SD	IMAGE_StResiduals
barbe	4.33	1.39	-0.3630	6.56	0.85	-0.0200
barbecue	4.73	1.71	2.5814	6.47	0.77	-0.1944
barbelé	2.20	1.03	-1.0859	4.45	4.88	2.0079
barbiche	2.36	1.48	1.6442	5.41	2.86	-0.2292
barge	1.79	1.26	1.2407	2.87	3.92	1.0997
baril	2.77	1.22	-0.8835	5.91	2.56	0.0310
baron	1.85	0.92	-0.8954	3.41	4.12	0.9782
baronne	1.92	1.05	-0.3722	3.15	3.76	0.6502
barque	2.46	1.33	0.3376	4.86	5.57	3.4167
barrage	3.47	1.39	-0.3404	5.58	2.02	-0.7866
barrette	3.78	1.60	1.2393	6.33	1.04	-0.3369
barricade	2.90	1.43	0.4478	4.97	2.96	-0.4514
barrière	4.08	1.39	-0.4445	5.70	1.56	-0.9446
bascule	2.87	1.37	0.0325	4.31	3.57	0.0296
basket-ball	4.74	1.50	0.7804	6.44	0.77	-0.2444
basse	3.68	1.56	0.9221	3.19	3.42	0.1886
bassine	2.00	1.16	0.0994	3.91	4.58	1.4959
bataille	4.44	1.15	-1.9415	5.52	1.90	-0.9245
bataillon	2.63	1.20	-0.8160	3.43	2.62	-0.8132
bateau	4.63	1.37	-0.3184	6.84	0.13	0.3731
bâtisse	4.16	1.69	2.0552	5.47	3.24	0.2392
bâtonnet	3.40	1.26	-1.2262	6.22	0.79	-0.5860
battant	2.83	1.68	2.6213	2.79	2.56	-0.3771
baume	2.77	1.37	0.1598	4.30	3.65	0.1254
bavure	2.22	1.28	0.4255	3.34	3.50	0.1804
bazar	2.25	1.19	-0.2299	3.62	4.54	1.5130
bec	4.84	1.69	2.5082	6.26	1.30	-0.3384
bedon	3.50	1.71	2.3085	5.59	3.50	0.6634
bègue	1.91	1.20	0.5573	1.94	2.59	0.7714
beignet	2.61	1.48	1.2294	6.14	1.37	-0.4833
belette	2.08	1.17	-0.0118	4.83	5.15	2.6138
belge	2.83	1.40	0.3052	3.83	3.92	0.5251
bélier	3.04	1.45	0.4485	6.02	2.19	-0.1347
belvédère	2.07	1.17	0.0095	3.86	5.81	3.7572
bémol	2.62	1.58	2.0360	3.75	5.20	2.6029
bénéfice	4.20	1.33	-0.8527	2.65	2.13	-0.5835
benne	1.43	0.81	-0.3000	1.77	1.90	0.5130
béquille	3.30	1.54	0.9454	6.21	1.59	-0.2670
béret	2.35	1.08	-1.0878	5.58	4.16	1.5510
berge	1.91	1.03	-0.4608	3.16	4.00	0.9665
besogne	2.20	1.12	-0.5662	2.58	2.22	-0.4361
bestiole	2.56	1.38	0.5385	4.74	3.42	-0.0438
bêtise	3.52	1.54	0.8152	2.83	2.43	-0.5281
béton	3.45	1.58	1.1857	5.12	3.46	0.2117
betterave	3.23	1.50	0.6719	6.01	3.13	0.7368
beurre	5.62	1.24	0.1440	6.68	0.42	0.0995
biais	3.60	1.46	0.1372	2.41	2.62	0.1171
biberon	2.95	1.36	-0.1343	6.70	0.35	0.1262
bible	3.86	1.64	1.5779	6.69	0.44	0.1198
biche	2.48	1.45	1.2000	5.05	4.16	1.1086
bicyclette	4.69	1.47	0.4954	6.86	0.17	0.4142
bidon	2.26	1.10	-0.8027	4.35	4.75	1.7673
bien-être	4.85	1.34	-0.3292	2.91	2.13	-0.8472
bienfait	3.70	1.45	0.0275	2.47	1.80	-0.6048
bigoudi	2.26	1.28	0.3478	4.55	5.71	3.5794
bijouterie	3.56	1.44	-0.0028	5.79	1.64	-0.7984
bijoutière	2.75	1.44	0.7149	5.26	2.50	-0.6961
binette	1.87	1.14	0.2741	2.40	2.99	0.4950
biographie	4.15	1.22	-1.6205	3.54	2.43	-1.0385
biscotte	1.85	0.83	-1.3184	4.34	5.20	2.5488
bise	2.63	1.62	2.3648	4.44	3.20	-0.3908
bisou	4.26	1.61	1.3794	5.69	2.02	-0.6692
blague	5.13	1.37	0.2340	3.76	3.72	0.2807
blaireau	1.79	0.99	-0.3907	4.09	6.15	4.4464
blanc	5.61	1.28	0.3952	5.76	3.57	0.9437
blason	1.81	1.05	-0.1110	2.69	3.72	1.0186
blatte	1.47	0.77	-0.5839	2.52	5.20	3.5319
blé	4.18	1.72	2.3357	6.50	0.71	-0.1617
blessé	4.42	1.35	-0.6104	4.31	2.40	-1.2029
blessure	4.25	1.32	-0.9064	5.52	2.25	-0.6712
blette	1.67	0.98	-0.1400	2.94	5.81	4.2742
bleuet	4.14	1.73	2.4174	6.85	0.35	0.4111
blocage	3.58	1.28	-1.1797	3.63	3.65	0.2259
blouse	4.19	1.38	-0.4919	6.34	1.00	-0.3356
blouson	2.95	1.23	-1.0385	6.01	1.56	-0.5638
boa	2.07	0.85	-1.7265	6.38	1.28	-0.1606
bobine	2.83	1.34	-0.1363	5.54	2.79	-0.1724
boeuf	4.54	1.47	0.3756	6.87	0.11	0.4310
bois	4.83	1.48	0.7099	6.19	1.66	-0.2527
boîtier	2.95	1.20	-1.2343	5.13	2.40	-0.8744
bombarde	2.48	1.24	-0.3171	3.55	3.20	-0.2768
bombe	4.02	1.45	0.0043	5.95	1.51	-0.6699
bon	6.21	0.89	-0.5016	2.91	2.40	-0.6305
bonbon	5.21	1.50	1.3511	6.44	1.14	-0.1190
bonbonne	2.64	1.53	1.5886	5.29	4.12	1.2241
bond	2.84	1.33	-0.2205	3.90	3.69	0.1956
bonheur	5.31	1.34	0.2851	3.23	3.03	-0.2887
bonne	5.70	1.35	1.0695	2.93	3.65	0.6806
bonté	3.66	1.40	-0.3440	2.59	1.96	-0.6395
bonze	1.55	0.89	-0.2717	2.02	3.06	1.1127
boomerang	2.59	1.12	-1.2538	6.29	2.31	0.3513
bordée	2.75	1.42	0.5613	2.76	2.34	-0.5360
bordereau	2.14	1.23	0.2494	2.97	4.24	1.4739
bordure	3.52	1.49	0.4083	4.97	2.43	-0.9505
borne	2.58	1.36	0.3601	3.36	3.20	-0.1777
bosquet	1.67	0.87	-0.6865	3.12	4.88	2.3819
bottin	3.30	1.49	0.5385	5.43	2.43	-0.6052
bottine	3.22	1.50	0.6800	6.15	1.21	-0.5412
bouche	5.73	1.24	0.3664	6.75	0.27	0.2108
bouchée	4.72	1.49	0.6815	4.95	2.62	-0.7918
boucle	4.11	1.45	0.0191	5.98	2.04	-0.2968
boudin	2.66	1.33	0.0231	4.66	3.92	0.5702
