word,freqlivres,freqfilms,ratio,zipf_livres,zipf_films,cgrams,tier
convoyer,0.8100,0.3200,2.4848,2.9085,2.5051,VER,intermediaire
ânerie,0.8100,0.3200,2.4848,2.9085,2.5051,NOM,intermediaire
immédiat,13.8500,5.5700,2.4839,4.1414,3.7459,"ADJ, NOM",debutant
crevasse,2.3000,0.9200,2.4839,3.3617,2.9638,NOM,intermediaire
éblouir,2.3000,0.9200,2.4839,3.3617,2.9638,VER,intermediaire
édifiant,1.2800,0.5100,2.4808,3.1072,2.7076,ADJ,intermediaire
démonstratif,0.6100,0.2400,2.4800,2.7853,2.3802,"ADJ, NOM",intermediaire
marjolaine,0.6100,0.2400,2.4800,2.7853,2.3802,NOM,intermediaire
picotin,0.6100,0.2400,2.4800,2.7853,2.3802,NOM,intermediaire
renier,4.8000,1.9300,2.4794,3.6812,3.2856,VER,debutant
sinistre,21.6800,8.7400,2.4789,4.3361,3.9415,"ADJ, NOM",debutant
peignoir,14.7300,5.9400,2.4773,4.1682,3.7738,NOM,debutant
autodidacte,1.0800,0.4300,2.4773,3.0334,2.6335,"ADJ, NOM",intermediaire
dépouiller,5.1400,2.0700,2.4760,3.7110,3.3160,VER,debutant
philosophie,24.3200,9.8200,2.4751,4.3860,3.9921,NOM,debutant
ordonnance,19.6600,7.9400,2.4742,4.2936,3.8998,NOM,debutant
alignement,4.1200,1.6600,2.4731,3.6149,3.2201,NOM,debutant
imposé,0.8800,0.3500,2.4722,2.9445,2.5441,"ADJ, NOM",intermediaire
balafré,0.8800,0.3500,2.4722,2.9445,2.5441,ADJ,intermediaire
fasciner,0.8800,0.3500,2.4722,2.9445,2.5441,VER,intermediaire
gravé,0.8800,0.3500,2.4722,2.9445,2.5441,ADJ,intermediaire
palabrer,0.8800,0.3500,2.4722,2.9445,2.5441,VER,intermediaire
tangente,0.8800,0.3500,2.4722,2.9445,2.5441,NOM,intermediaire
transcrire,0.8800,0.3500,2.4722,2.9445,2.5441,VER,intermediaire
déterminant,0.8800,0.3500,2.4722,2.9445,2.5441,"ADJ, NOM",intermediaire
aveuglement,4.3900,1.7700,2.4719,3.6425,3.2480,NOM,debutant
piétiner,3.4500,1.3900,2.4714,3.5378,3.1430,VER,debutant
anticlérical,0.4100,0.1600,2.4706,2.6128,2.2041,ADJ,intermediaire
butiner,0.4100,0.1600,2.4706,2.6128,2.2041,VER,intermediaire
despotique,0.4100,0.1600,2.4706,2.6128,2.2041,ADJ,intermediaire
droguiste,0.4100,0.1600,2.4706,2.6128,2.2041,NOM,intermediaire
déluré,0.4100,0.1600,2.4706,2.6128,2.2041,ADJ,intermediaire
dévoreur,0.4100,0.1600,2.4706,2.6128,2.2041,NOM,intermediaire
exceller,0.4100,0.1600,2.4706,2.6128,2.2041,VER,intermediaire
imprononçable,0.4100,0.1600,2.4706,2.6128,2.2041,ADJ,intermediaire
inamovible,0.4100,0.1600,2.4706,2.6128,2.2041,ADJ,intermediaire
intempérance,0.4100,0.1600,2.4706,2.6128,2.2041,NOM,intermediaire
lotta,0.4100,0.1600,2.4706,2.6128,2.2041,NOM,intermediaire
nuancé,0.4100,0.1600,2.4706,2.6128,2.2041,ADJ,intermediaire
pelade,0.4100,0.1600,2.4706,2.6128,2.2041,NOM,intermediaire
poêlon,0.4100,0.1600,2.4706,2.6128,2.2041,NOM,intermediaire
proportionné,0.4100,0.1600,2.4706,2.6128,2.2041,ADJ,intermediaire
récriminer,0.4100,0.1600,2.4706,2.6128,2.2041,VER,intermediaire
subtiliser,0.4100,0.1600,2.4706,2.6128,2.2041,VER,intermediaire
tergal,0.4100,0.1600,2.4706,2.6128,2.2041,NOM,intermediaire
triquer,0.4100,0.1600,2.4706,2.6128,2.2041,VER,intermediaire
émoustiller,0.4100,0.1600,2.4706,2.6128,2.2041,VER,intermediaire
confusion,20.0700,8.1200,2.4699,4.3025,3.9096,NOM,debutant
hypothétique,1.6200,0.6500,2.4697,3.2095,2.8129,ADJ,intermediaire
familial,12.3600,5.0000,2.4691,4.0920,3.6990,ADJ,debutant
communier,2.3600,0.9500,2.4687,3.3729,2.9777,VER,intermediaire
soubrette,2.3600,0.9500,2.4687,3.3729,2.9777,NOM,intermediaire
effronterie,1.1500,0.4600,2.4681,3.0607,2.6628,NOM,intermediaire
reconnaître,62.3000,25.2400,2.4677,4.7945,4.4021,VER,debutant
