mot;score_v2;classe;zipf_books;ratio;categories_wikt
médianoche;1.0;Excellent;2.672;10.0;littéraire
nacelle;1.0;Excellent;3.373;2.269;littéraire
nautonier;1.0;Excellent;2.301;10.0;poétique
nocher;1.0;Excellent;2.146;7.0;poétique
nonchalance;1.0;Excellent;3.699;10.638;littéraire
nonnain;1.0;Excellent;2.785;10.0;littéraire
nonobstant;1.0;Excellent;3.473;18.562;soutenu
nonpareil;1.0;Excellent;2.146;14.0;littéraire
nourrisson;1.0;Excellent;3.483;2.69;soutenu
oaristys;1.0;Excellent;1.845;10.0;littéraire
objurgation;1.0;Excellent;3.276;10.0;littéraire
obligeance;1.0;Excellent;3.19;1.845;soutenu
obligeant;1.0;Excellent;3.033;6.353;soutenu
occire;1.0;Excellent;2.613;4.1;littéraire
oiseleur;1.0;Excellent;2.672;7.833;littéraire
onzième;1.0;Excellent;3.173;4.382;archaïque
ouater;1.0;Excellent;2.833;10.0;littéraire
oublieux;0.99;Bon;3.107;2.844;archaïque
ensanglanter;0.989;Bon;2.944;1.956;poétique
fronde;0.989;Bon;3.228;1.965;poétique
pourpoint;0.989;Bon;3.061;1.949;poétique
redorer;0.989;Bon;2.431;1.5;poétique
chaux;0.979;Bon;3.867;5.576;archaïque
coîffe;0.979;Bon;3.656;7.306;archaïque
glacer;0.9775;Bon;3.886;4.231;poétique
ivoire;0.9775;Bon;3.894;4.0;poétique
plaintif;0.9775;Bon;3.52;4.086;poétique
violette;0.9775;Bon;3.642;3.752;poétique
commune;0.972;Bon;3.886;2.711;soutenu
couronner;0.972;Bon;3.562;2.517;soutenu
nippon;0.96;Bon;2.613;1.242;soutenu
éminent;0.96;Bon;3.307;1.223;soutenu
blâme;0.9558;Bon;3.607;2.189;littéraire
dépouille;0.9558;Bon;3.699;2.959;littéraire
tacher;0.9558;Bon;3.635;2.541;littéraire
virilité;0.9558;Bon;3.803;2.581;littéraire
arène;0.9471;Bon;3.615;1.831;littéraire+poétique
humilié;0.946;Bon;3.334;1.982;archaïque
accidenter;0.944;Bon;2.146;1.167;littéraire
aliénation;0.944;Bon;3.173;1.252;littéraire
cristallisation;0.944;Bon;2.431;1.35;littéraire
déduit;0.944;Bon;2.431;1.286;littéraire
estoc;0.944;Bon;2.301;1.25;littéraire
flouer;0.944;Bon;2.732;1.385;littéraire
onéreux;0.944;Bon;2.833;1.133;littéraire
pourceau;0.944;Bon;2.785;1.386;littéraire
prévention;0.944;Bon;3.13;1.015;littéraire
périphrase;0.944;Bon;2.146;1.273;littéraire
sublimer;0.944;Bon;2.732;1.2;littéraire
vergeture;0.944;Bon;2.613;1.0;littéraire
nouër;0.935;Bon;3.779;3.599;archaïque
furie;0.9315;Bon;3.744;2.702;poétique
artifice;0.924;Bon;3.93;1.582;soutenu
avide;0.924;Bon;4.015;5.33;soutenu
muraille;0.924;Bon;4.042;8.602;soutenu
péril;0.924;Bon;4.0;1.582;soutenu
redire;0.924;Bon;3.705;1.668;soutenu
étreinte;0.924;Bon;4.092;6.0;soutenu
boiteux;0.92;Bon;3.348;1.104;poétique
chalumeau;0.92;Bon;3.373;1.484;poétique
fondement;0.92;Bon;3.386;1.381;poétique
alentour;0.9086;Bon;3.96;1.912;littéraire
dentelle;0.9086;Bon;4.243;5.757;littéraire
décret;0.9086;Bon;3.808;1.814;littéraire
geste;0.9086;Bon;5.236;5.477;littéraire
ressortir;0.9086;Bon;3.898;1.705;littéraire
trait;0.9086;Bon;4.774;7.396;littéraire
épais;0.9086;Bon;4.613;6.745;littéraire
érotique;0.9086;Bon;3.775;1.957;littéraire
chevelure;0.9085;Bon;4.399;10.028;poétique
paupière;0.9085;Bon;4.751;14.966;poétique
barque;0.8979;Bon;4.476;3.144;littéraire+poétique
gifle;0.891;Bon;3.994;2.739;archaïque
situër;0.891;Bon;3.894;2.904;archaïque
