mot;score_final;score_semantique;score_frequence;zipf_books;ratio;categories_wikt;theme_similar;in_reference;classe
parégorique;0.7513;0.6627;1.0;2.531;8.5;archaïque;Art & Langage;non;Excellent
brisure;0.7508;0.6016;1.0;2.869;10.0;poétique;Sentiments & Psyché;non;Excellent
fronde;0.7497;0.5993;1.0;3.228;1.965;poétique;Esprit & Caractère;non;Excellent
commère;0.7491;0.6582;1.0;3.386;7.147;archaïque;Art & Langage;non;Excellent
sillon;0.749;0.603;0.85;3.863;15.87;littéraire+poétique;Nature & Cosmos;non;Excellent
poussinière;0.749;0.598;1.0;1.845;10.0;poétique;Art & Langage;non;Excellent
hymen;0.7487;0.5974;1.0;2.531;0.166;poétique;Nature & Cosmos;non;Excellent
fructueux;0.7479;0.5958;1.0;3.13;4.219;poétique;Esprit & Caractère;non;Excellent
albâtre;0.7478;0.5955;1.0;3.473;5.211;poétique;Nature & Cosmos;non;Excellent
nautonier;0.7475;0.595;1.0;2.301;10.0;poétique;Esprit & Caractère;non;Excellent
spiritueux;0.7457;0.6514;1.0;2.785;1.488;archaïque;Esprit & Caractère;non;Excellent
péril;0.7454;0.5957;0.85;4.0;1.582;soutenu;Temps & Éphémère;non;Excellent
redire;0.7439;0.5928;0.85;3.705;1.668;soutenu;Art & Langage;non;Excellent
septante;0.7422;0.6443;1.0;1.845;0.636;archaïque;Nature & Cosmos;non;Excellent
sourdre;0.7419;0.6488;0.85;3.538;10.0;littéraire;Sentiments & Psyché;non;Excellent
décombre;0.7381;0.6411;0.85;3.816;6.009;littéraire;Sentiments & Psyché;non;Excellent
érotique;0.7378;0.6406;0.85;3.775;1.957;littéraire;Art & Langage;non;Excellent
vipère;0.7359;0.6369;0.85;3.52;0.968;littéraire;Nature & Cosmos;non;Excellent
sangle;0.7352;0.6304;1.0;3.348;3.78;archaïque;Nature & Cosmos;non;Excellent
humilié;0.734;0.6281;1.0;3.334;1.982;archaïque;Sentiments & Psyché;non;Excellent
virilité;0.73;0.6249;0.85;3.803;2.581;littéraire;Esprit & Caractère;non;Excellent
lèche;0.7298;0.6197;1.0;2.833;0.493;archaïque;Nature & Cosmos;non;Excellent
paronomasie;0.7296;0.6192;1.0;1.845;10.0;archaïque;Philosophie & Idées;non;Excellent
étreinte;0.7282;0.6665;0.7;4.092;6.0;soutenu;Sentiments & Psyché;non;Excellent
oublieux;0.7281;0.6161;1.0;3.107;2.844;archaïque;Esprit & Caractère;non;Excellent
disant;0.7275;0.62;0.85;3.847;5.535;littéraire;Sentiments & Psyché;non;Excellent
insulter;0.727;0.619;0.85;3.808;0.95;littéraire;Esprit & Caractère;non;Excellent
nonchalance;0.7261;0.6171;0.85;3.699;10.638;littéraire;Sentiments & Psyché;non;Excellent
civilement;0.726;0.6121;1.0;2.869;18.5;archaïque;Esprit & Caractère;non;Excellent
onzième;0.7248;0.6097;1.0;3.173;4.382;archaïque;Esprit & Caractère;non;Excellent
quint;0.7231;0.6063;1.0;2.301;1.0;archaïque;Esprit & Caractère;non;Excellent
gerbe;0.723;0.6109;0.85;3.886;20.263;littéraire;Nature & Cosmos;non;Excellent
appariteur;0.7222;0.6044;1.0;2.531;1.214;archaïque;Esprit & Caractère;non;Excellent
rosier;0.722;0.609;0.85;3.622;6.869;littéraire;Nature & Cosmos;non;Excellent
violette;0.7217;0.6484;0.85;3.642;3.752;poétique;Nature & Cosmos;non;Excellent
gémissement;0.7211;0.6472;0.85;3.969;9.608;poétique;Sentiments & Psyché;non;Excellent
oye;0.7207;0.6014;1.0;2.978;4.524;archaïque;Esprit & Caractère;non;Excellent
mouvoir;0.7204;0.6058;0.85;3.629;7.345;littéraire;Esprit & Caractère;non;Excellent
chaume;0.72;0.6449;0.85;3.687;13.5;poétique;Nature & Cosmos;non;Excellent
mixte;0.72;0.6;1.0;3.362;1.031;archaïque;Nature & Cosmos;non;Excellent
tablature;0.7191;0.5982;1.0;1.845;10.0;archaïque;Art & Langage;non;Excellent
crapule;0.719;0.598;1.0;3.398;0.564;archaïque;Nature & Cosmos;non;Excellent
tympan;0.7185;0.602;0.85;3.545;3.944;littéraire;Nature & Cosmos;non;Excellent
phalange;0.7181;0.6011;0.85;3.545;8.357;littéraire;Art & Langage;non;Excellent
dériveur;0.7178;0.5957;1.0;2.146;1.0;archaïque;Esprit & Caractère;non;Excellent
dépouille;0.7177;0.6004;0.85;3.699;2.959;littéraire;Nature & Cosmos;non;Excellent
perruque;0.7173;0.6397;0.85;3.847;0.875;poétique;Art & Langage;non;Excellent
clameur;0.7159;0.5968;0.85;3.749;7.685;littéraire;Art & Langage;non;Excellent
cygne;0.7144;0.6338;0.85;3.668;0.883;poétique;Nature & Cosmos;non;Excellent
martyre;0.7112;0.6274;0.85;3.784;1.831;poétique;Esprit & Caractère;non;Excellent
furie;0.7093;0.6236;0.85;3.744;2.702;poétique;Sentiments & Psyché;non;Excellent
écrin;0.7058;0.6166;0.85;3.529;9.389;poétique;Nature & Cosmos;non;Excellent
trame;0.7046;0.6142;0.85;3.722;12.256;poétique;Nature & Cosmos;non;Excellent
foudroyant;0.7012;0.6075;0.85;3.511;32.4;poétique;Lumière & Ombres;non;Excellent
plaintif;0.7005;0.606;0.85;3.52;4.086;poétique;Esprit & Caractère;non;Excellent
préau;0.6994;0.6039;0.85;3.545;35.1;poétique;Esprit & Caractère;non;Excellent
ivoire;0.6937;0.5924;0.85;3.894;4.0;poétique;Lumière & Ombres;non;Excellent
brise;0.6931;0.5963;0.7;4.037;1.943;littéraire+poétique;Nature & Cosmos;non;Excellent
passerelle;0.6819;0.6289;0.85;3.927;1.916;archaïque;Nature & Cosmos;non;Excellent
librairie;0.6717;0.6084;0.85;3.916;1.641;archaïque;Art & Langage;non;Excellent
saoul;0.6685;0.6021;0.85;3.976;1.211;archaïque;Nature & Cosmos;non;Excellent
correspondance;0.6665;0.6031;0.7;4.075;2.231;littéraire;Sentiments & Psyché;non;Excellent
voire;0.6662;0.6023;0.7;4.228;2.276;littéraire;Art & Langage;non;Excellent
doré;0.6484;0.6068;0.7;4.215;7.108;poétique;Lumière & Ombres;non;Excellent
vitré;0.6237;0.6174;0.7;4.05;37.4;archaïque;Nature & Cosmos;non;Excellent
