mot;score_v3;classe;zipf_books;ratio;categories_wikt
nautonier;1.0;Excellent;2.301;10.0;poétique
nef;1.0;Excellent;3.812;15.829;poétique
nippon;1.0;Excellent;2.613;1.242;soutenu
nocher;1.0;Excellent;2.146;7.0;poétique
noise;1.0;Excellent;2.613;0.519;littéraire
nonante;1.0;Excellent;2.431;1.0;archaïque
nonchalance;1.0;Excellent;3.699;10.638;littéraire
nonnain;1.0;Excellent;2.785;10.0;littéraire
nonobstant;1.0;Excellent;3.473;18.562;soutenu
nonpareil;1.0;Excellent;2.146;14.0;littéraire
nourrisson;1.0;Excellent;3.483;2.69;soutenu
nouër;1.0;Excellent;3.779;3.599;archaïque
oaristys;1.0;Excellent;1.845;10.0;littéraire
objurgation;1.0;Excellent;3.276;10.0;littéraire
obligeance;1.0;Excellent;3.19;1.845;soutenu
obligeant;1.0;Excellent;3.033;6.353;soutenu
occire;1.0;Excellent;2.613;4.1;littéraire
oiseleur;1.0;Excellent;2.672;7.833;littéraire
olive;1.0;Excellent;3.675;1.642;poétique
onzième;1.0;Excellent;3.173;4.382;archaïque
onéreux;1.0;Excellent;2.833;1.133;littéraire
orbe;1.0;Excellent;3.004;2.196;poétique
ouater;1.0;Excellent;2.833;10.0;littéraire
oublieux;1.0;Excellent;3.107;2.844;archaïque
outrage;1.0;Excellent;3.473;0.874;littéraire
oye;1.0;Excellent;2.978;4.524;archaïque
pagure;1.0;Excellent;1.845;10.0;soutenu
palsambleu;1.0;Excellent;2.301;6.667;archaïque
panner;1.0;Excellent;2.146;10.0;archaïque
panser;1.0;Excellent;3.152;2.84;littéraire
par-devers;1.0;Excellent;3.033;50.0;littéraire
paronomasie;1.0;Excellent;1.845;10.0;archaïque
parégorique;1.0;Excellent;2.531;8.5;archaïque
passereau;1.0;Excellent;2.785;2.033;littéraire
passerelle;1.0;Excellent;3.927;1.916;archaïque
paître;1.0;Excellent;3.246;1.814;poétique+soutenu
perruque;1.0;Excellent;3.847;0.875;poétique
phalange;1.0;Excellent;3.545;8.357;littéraire
phosphorescent;1.0;Excellent;3.307;8.826;littéraire
physicien;1.0;Excellent;2.978;1.267;archaïque
physionomiste;1.0;Excellent;2.146;1.556;soutenu
pié;1.0;Excellent;3.502;3.0;archaïque
plaintif;1.0;Excellent;3.52;4.086;poétique
plûpart;1.0;Excellent;1.845;7.0;archaïque
poindre;1.0;Excellent;3.453;0.556;littéraire
pomper;1.0;Excellent;3.061;0.669;littéraire
poncif;1.0;Excellent;2.672;10.0;littéraire
ponctuer;1.0;Excellent;3.334;50.0;littéraire
pourceau;1.0;Excellent;2.785;1.386;littéraire
pourfendre;1.0;Excellent;2.732;13.5;littéraire
pourpoint;1.0;Excellent;3.061;1.949;poétique
poussinière;1.0;Excellent;1.845;10.0;poétique
procédé;1.0;Excellent;3.649;1.36;littéraire
profus;1.0;Excellent;2.431;27.0;littéraire
promoteur;1.0;Excellent;3.004;3.607;littéraire
promouvoir;1.0;Excellent;3.21;0.455;littéraire
prospère;1.0;Excellent;3.348;0.699;soutenu
proéminer;1.0;Excellent;1.845;10.0;littéraire
préau;1.0;Excellent;3.545;35.1;poétique
prévention;1.0;Excellent;3.13;1.015;littéraire
pulser;1.0;Excellent;2.301;20.0;littéraire
pulvérulence;1.0;Excellent;1.845;10.0;littéraire+soutenu
purger;1.0;Excellent;3.033;0.679;poétique
pus;1.0;Excellent;3.699;2.632;archaïque
pâmer;1.0;Excellent;2.785;10.167;littéraire
péril;1.0;Excellent;4.0;1.582;soutenu
périlleux;1.0;Excellent;3.554;4.115;soutenu
périphrase;1.0;Excellent;2.146;1.273;littéraire
péroraison;1.0;Excellent;2.978;10.0;littéraire
pôle;1.0;Excellent;3.442;0.888;poétique
quantième;1.0;Excellent;1.845;10.0;littéraire
quint;1.0;Excellent;2.301;1.0;archaïque
quintal;1.0;Excellent;2.833;3.579;archaïque
radin;1.0;Excellent;3.107;0.476;archaïque
ramure;1.0;Excellent;3.41;23.364;poétique
ratiocination;1.0;Excellent;2.732;10.0;littéraire
rebondir;1.0;Excellent;3.52;5.092;littéraire
rebours;1.0;Excellent;3.464;0.827;archaïque
recru;1.0;Excellent;2.301;1.429;littéraire+soutenu
redire;1.0;Excellent;3.705;1.668;soutenu
redorer;1.0;Excellent;2.431;1.5;poétique
rejeton;1.0;Excellent;3.362;3.77;poétique+soutenu
remembrance;1.0;Excellent;2.146;14.0;poétique
ressaut;1.0;Excellent;2.869;50.0;littéraire
ressortir;1.0;Excellent;3.898;1.705;littéraire
ressouvenir;1.0;Excellent;2.672;0.691;archaïque+littéraire
rez;1.0;Excellent;2.531;0.944;littéraire
ris;1.0;Excellent;2.531;0.227;poétique
robot;1.0;Excellent;3.228;0.113;littéraire
rosier;1.0;Excellent;3.622;6.869;littéraire
roy;1.0;Excellent;2.431;1.588;archaïque
rédhibitoire;1.0;Excellent;2.531;5.667;soutenu
résille;1.0;Excellent;3.276;7.0;poétique
résipiscence;1.0;Excellent;2.672;10.0;littéraire
rêne;1.0;Excellent;3.749;2.538;soutenu
safran;1.0;Excellent;3.276;4.974;poétique
sagette;1.0;Excellent;1.845;10.0;poétique
salacité;1.0;Excellent;2.146;10.0;littéraire
